"binomial","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5"
"Accipiter madagascariensis",0.556003559000572,-0.0642890794382758,0.480100039823578,0.25017461464632,0.00914402769952916
"Accipiter melanochlamys",0.847541989148493,0.260919502113882,0.180542047323062,0.45708196051312,-0.129476100476028
"Accipiter melanoleucus",1.7633822061284,-0.121565818626847,1.09267513434329,0.0727874591921218,-0.0970203209604672
"Accipiter meyerianus",1.47171374278002,0.589937158456161,-0.17012240595109,0.850307649117394,-0.121108387725477
"Accipiter minullus",0.599772252100536,-0.857462539982778,0.82412156494363,-0.786780677340172,0.158773795811766
"Accipiter nanus",0.459996085033923,-0.449668421017502,-0.20100485501924,1.43077852034972,0.261641054277601
"Accipiter nisus",1.00687694316653,-0.148362823318977,3.01134839929852,-0.297547631971123,-0.555779043360952
"Accipiter novaehollandiae",0.971290045571605,-0.219873572522763,0.0994354193148305,0.757418737483472,0.125986196358847
"Accipiter ovampensis",0.746416069815417,0.282675463188276,0.470738234196295,-0.0114553697281743,-0.0989183093222561
"Accipiter poliocephalus",1.46596295637772,-0.928471641398935,-0.846511990913078,-0.290982047437519,0.234157585683249
"Accipiter poliogaster",1.79965484721479,0.696898352047255,-0.800812315374103,1.18823905364606,-0.0699778645462149
"Accipiter princeps",0.558672840776307,-0.241017152547479,-0.195137384127441,1.28558128328911,0.162825088592158
"Accipiter rhodogaster",0.616818728021871,-0.12786166027246,0.432522132481876,0.220145598437172,-0.000336050284130472
"Accipiter rufitorques",0.769320305542264,-0.201998613375416,0.372882357113236,0.213085473228581,0.0173882466666125
"Accipiter rufiventris",0.749740382773355,-0.124455742635559,1.06431176859512,-0.198632180862169,0.0223329742676048
"Accipiter soloensis",0.545396836567634,0.032966900100579,1.23822686840328,-0.0743756599353322,-0.10821437637158
"Accipiter striatus",0.886075861858152,-0.178675185299648,2.41887380738546,-0.323302618036979,-0.654954391937712
"Accipiter superciliosus",0.631012062734327,0.0790588209289428,-0.868456782599456,-0.238108023876409,-0.126727301804907
"Accipiter sylvestris",0.721371290895564,0.118012337705113,0.25058864029418,0.687068188665901,0.0432683403099553
"Accipiter tachiro",1.32558369725739,-0.393002302734172,0.887590500076113,-0.17392743932657,0.033864789930647
"Accipiter toussenelii",1.01386488679761,-0.296902941723343,0.861928102853434,-0.337033081793785,0.219624889019767
"Accipiter trinotatus",0.398617799104362,0.183443921667798,-0.375424356540313,0.543429148449297,-0.0648234967662665
"Accipiter trivirgatus",1.1712553463518,-0.513453301099822,0.0840477070402566,0.0402195112583602,0.121482004684895
"Accipiter virgatus",0.139454197108335,0.0165185590306805,0.935276887908646,0.0730829210288813,0.00430105950139646
"Acerodon celebensis",1.83157810116478,0.267641345468282,-1.27843476414038,-0.785138585104952,0.234120115305162
"Acerodon humilis",1.81651890523799,0.524411222504924,-1.79866742896607,-0.452934331403341,0.238675731170793
"Acerodon jubatus",3.07258718704006,-0.054285730819732,-1.15017279865081,-0.116024271261801,-0.400563189120411
"Acerodon leucotis",1.67845275233877,0.597496595031337,-1.79893315158883,-0.517983200875677,0.379397552766133
"Acerodon mackloti",2.01508634728389,0.231095176438821,-1.25875739123074,-0.687995308551572,0.170581110734631
"Aceros nipalensis",3.10466890826176,0.320667474493405,-0.810814471888593,0.254648525841473,-0.228245017844168
"Achaetops pycnopygius",-0.469115972712805,-0.795081266296185,-0.315786481627073,0.086533357366257,0.0687196714572207
"Acinonyx jubatus",2.99521113581101,0.5816193193115,1.56837969643125,0.947872934875375,1.29436233913307
"Acomys airensis",-0.337658445430983,0.689302670246136,0.374881305969864,-1.53627432998332,0.3333784337106
"Acomys cahirinus",-0.282277745983264,1.15395393434524,-0.286525813752067,-1.30088167789055,0.252364453313862
